<<<<<<< HEAD
Month,Total
"April 2011","730108"
"May 2011","756600"
"June 2011","772894"
"July 2011","801745"
"August 2011","787552"
"September 2011","723829"
"October 2011","737013"
"November 2011","693565"
"December 2011","709558"
"January 2012","686723"
"February 2012","656752"
"March 2012","739796"
"April 2012","717550"
"May 2012","739373"
"June 2012","750616"
"July 2012","773899"
"August 2012","772208"
"September 2012","693424"
"October 2012","707326"
"November 2012","679848"
"December 2012","678351"
"January 2013","670484"
"February 2013","616521"
"March 2013","719269"
"April 2013","702752"
"May 2013","733311"
"June 2013","734271"
"July 2013","767885"
"August 2013","765428"
"September 2013","697871"
"October 2013","719596"
"November 2013","664920"
"December 2013","669833"
"January 2014","633080"
"February 2014","585863"
"March 2014","706276"
"April 2014","686333"
"May 2014","707130"
"June 2014","718495"
"July 2014","754317"
"August 2014","743806"
"September 2014","680553"
"October 2014","706025"
"November 2014","659366"
"December 2014","675234"
"January 2015","643318"
"February 2015","579701"
"March 2015","694014"
"April 2015","680243"
"May 2015","702404"
"June 2015","711573"
"July 2015","749397"
"August 2015","741260"
"September 2015","672803"
"October 2015","698048"
"November 2015","659494"
"December 2015","666651"
"January 2016","644770"
"February 2016","621336"
"March 2016","706698"
"April 2016","684225"
"May 2016","713538"
"June 2016","725740"
"July 2016","744785"
"August 2016","747399"
"September 2016","686697"
"October 2016","699667"
"November 2016","668097"
"December 2016","670236"
"January 2017","653245"
"February 2017","600655"
"March 2017","707610"
"April 2017","683024"
"May 2017","718000"
"June 2017","731524"
"July 2017","752799"
"August 2017","748120"
"September 2017","666012"
>>>>>>> 0acb2dd5b8908bbb84c3d7910c6c662d9a5867b6
